SRR8926305_1.fastq	13-6929580_1.fastq
SRR8926306_1.fastq	13-6929544_1.fastq
SRR8926307_1.fastq	13-6929577_1.fastq
SRR8926308_1.fastq	13-6929586_1.fastq
SRR8926309_1.fastq	13-6929589_1.fastq
SRR8926310_1.fastq	13-6929582_1.fastq
SRR8926311_1.fastq	13-6929583_1.fastq
SRR8926312_1.fastq	13-6929741_1.fastq
SRR8926313_1.fastq	13-6929574_1.fastq
SRR8926314_1.fastq	13-6929573_1.fastq
SRR8926315_1.fastq	13-6929555_1.fastq
SRR8926316_1.fastq	13-6929554_1.fastq
SRR8926317_1.fastq	13-6929553_1.fastq
SRR8926318_1.fastq	13-6929552_1.fastq
SRR8926319_1.fastq	13-6929568_1.fastq
SRR8926320_1.fastq	13-6929558_1.fastq
SRR8926321_1.fastq	13-6929557_1.fastq
SRR8926322_1.fastq	13-6929556_1.fastq

SRR8926088_2.fastq	13-6929817_2.fastq
SRR8926089_2.fastq	13-6929803_2.fastq
SRR8926090_2.fastq	13-6929824_2.fastq
SRR8926091_2.fastq	13-6929823_2.fastq
SRR8926092_2.fastq	13-6929827_2.fastq
SRR8926093_2.fastq	13-6929826_2.fastq
SRR8926094_2.fastq	13-6929829_2.fastq
SRR8926095_2.fastq	13-6929828_2.fastq
SRR8926096_2.fastq	13-6929831_2.fastq
SRR8926097_2.fastq	13-6929830_2.fastq
SRR8926098_2.fastq	13-6929745_2.fastq
SRR8926099_2.fastq	13-6929744_2.fastq
SRR8926100_2.fastq	13-6929748_2.fastq
SRR8926101_2.fastq	13-6929746_2.fastq
SRR8926102_2.fastq	13-6929750_2.fastq
SRR8926103_2.fastq	13-6929749_2.fastq
SRR8926104_2.fastq	13-6929540_2.fastq
SRR8926105_2.fastq	13-6929528_2.fastq
SRR8926106_2.fastq	13-6929958_2.fastq
SRR8926107_2.fastq	13-6929957_2.fastq
SRR8926108_2.fastq	13-6929962_2.fastq
SRR8926109_2.fastq	13-6929959_2.fastq
SRR8926110_2.fastq	13-6929964_2.fastq
SRR8926111_2.fastq	13-6929963_2.fastq
SRR8926112_2.fastq	13-6929526_2.fastq
SRR8926113_2.fastq	13-6929965_2.fastq
SRR8926114_2.fastq	13-6929527_2.fastq
SRR8926115_2.fastq	13-6929529_2.fastq
